lits_dosya,shape,aralik,eslesme_sayisi,bdmap_id,adaylar
liver_79.nii.gz,"(512, 512, 147)","(0.796875, 0.796875, 3.0)",2,,BDMAP_00000965;BDMAP_00004508
liver_75.nii.gz,"(512, 512, 89)","(0.757812, 0.757812, 5.0)",2,,BDMAP_00000642;BDMAP_00000778
liver_16.nii.gz,"(512, 512, 689)","(0.703125, 0.703125, 0.8)",1,BDMAP_00001966,
liver_130.nii.gz,"(512, 512, 624)","(0.683594, 0.683594, 0.7)",2,,BDMAP_00001236;BDMAP_00003415
liver_118.nii.gz,"(512, 512, 427)","(0.744141, 0.744141, 1.5)",2,,BDMAP_00004416;BDMAP_00004600
liver_43.nii.gz,"(512, 512, 155)","(1.0, 1.0, 1.0)",2,,BDMAP_00000918;BDMAP_00001114
liver_106.nii.gz,"(512, 512, 771)","(0.729, 0.729, 0.8)",2,,BDMAP_00001270;BDMAP_00001810
liver_20.nii.gz,"(512, 512, 574)","(0.802734, 0.802734, 0.799988)",1,BDMAP_00005168,
liver_51.nii.gz,"(512, 512, 227)","(0.902344, 0.902344, 3.0)",2,,BDMAP_00001122;BDMAP_00003763
liver_114.nii.gz,"(512, 512, 846)","(0.782, 0.782, 0.8)",2,,BDMAP_00002147;BDMAP_00003002
liver_32.nii.gz,"(512, 512, 139)","(1.0, 1.0, 1.0)",2,,BDMAP_00000433;BDMAP_00003377
liver_7.nii.gz,"(512, 512, 541)","(0.748047, 0.748047, 1.0)",1,BDMAP_00002267,
liver_90.nii.gz,"(512, 512, 751)","(0.781, 0.781, 0.8)",2,,BDMAP_00000827;BDMAP_00002479
liver_82.nii.gz,"(512, 512, 519)","(0.625, 0.625, 0.801)",2,,BDMAP_00003439;BDMAP_00003897
liver_55.nii.gz,"(512, 512, 192)","(0.666016, 0.666016, 2.5)",2,,BDMAP_00003003;BDMAP_00004187
liver_28.nii.gz,"(512, 512, 129)","(1.0, 1.0, 1.0)",2,,BDMAP_00001316;BDMAP_00002349
liver_110.nii.gz,"(512, 512, 816)","(0.72, 0.72, 0.8)",2,,BDMAP_00002258;BDMAP_00003664
liver_36.nii.gz,"(512, 512, 111)","(1.0, 1.0, 1.0)",2,,BDMAP_00002117;BDMAP_00004839
liver_47.nii.gz,"(512, 512, 225)","(1.0, 1.0, 1.0)",2,,BDMAP_00001397;BDMAP_00004037
liver_59.nii.gz,"(512, 512, 216)","(0.683594, 0.683594, 2.0)",2,,BDMAP_00000084;BDMAP_00004565
liver_102.nii.gz,"(512, 512, 677)","(0.716797, 0.716797, 0.699985)",2,,BDMAP_00001333;BDMAP_00002342
liver_24.nii.gz,"(512, 512, 276)","(0.669922, 0.669922, 1.5)",1,BDMAP_00001692,
liver_71.nii.gz,"(512, 512, 94)","(0.556641, 0.556641, 5.0)",2,,BDMAP_00000100;BDMAP_00003893
liver_12.nii.gz,"(512, 512, 455)","(0.654297, 0.654297, 1.0)",1,BDMAP_00003911,
liver_63.nii.gz,"(512, 512, 104)","(0.740234, 0.740234, 5.0)",2,,BDMAP_00003140;BDMAP_00004995
liver_126.nii.gz,"(512, 512, 401)","(0.664062, 0.664062, 1.5)",2,,BDMAP_00000437;BDMAP_00001957
liver_26.nii.gz,"(512, 512, 668)","(0.863281, 0.863281, 0.7)",1,BDMAP_00004281,
liver_100.nii.gz,"(512, 512, 685)","(0.699219, 0.699219, 0.7)",2,,BDMAP_00000400;BDMAP_00003287
liver_45.nii.gz,"(512, 512, 74)","(1.0, 1.0, 1.0)",2,,BDMAP_00000671;BDMAP_00002384
liver_38.nii.gz,"(512, 512, 132)","(1.0, 1.0, 1.0)",2,,BDMAP_00000091;BDMAP_00002055
liver_49.nii.gz,"(512, 512, 254)","(0.955078, 0.955078, 2.5)",2,,BDMAP_00003867;BDMAP_00004529
liver_34.nii.gz,"(512, 512, 151)","(1.0, 1.0, 1.0)",2,,BDMAP_00001588;BDMAP_00005186
liver_112.nii.gz,"(512, 512, 751)","(0.64, 0.64, 0.8)",2,,BDMAP_00001018;BDMAP_00001309
liver_57.nii.gz,"(512, 512, 366)","(0.703125, 0.703125, 1.25)",2,,BDMAP_00001539;BDMAP_00003524
liver_124.nii.gz,"(512, 512, 407)","(0.699219, 0.699219, 1.5)",2,,BDMAP_00000709;BDMAP_00002084
liver_61.nii.gz,"(512, 512, 193)","(0.757812, 0.757812, 2.5)",2,,BDMAP_00002955;BDMAP_00004590
liver_10.nii.gz,"(512, 512, 501)","(0.769531, 0.769531, 1.0)",1,BDMAP_00001198,
liver_73.nii.gz,"(512, 512, 121)","(0.951172, 0.951172, 4.0)",2,,BDMAP_00001105;BDMAP_00004378
liver_128.nii.gz,"(512, 512, 654)","(0.78125, 0.78125, 0.7)",2,,BDMAP_00002214;BDMAP_00002851
liver_9.nii.gz,"(512, 512, 549)","(0.820312, 0.820312, 1.0)",1,BDMAP_00001753,
liver_5.nii.gz,"(512, 512, 537)","(0.96875, 0.96875, 0.799988)",1,BDMAP_00001907,
liver_80.nii.gz,"(512, 512, 217)","(0.683594, 0.683594, 2.0)",2,,BDMAP_00002805;BDMAP_00004304
liver_92.nii.gz,"(512, 512, 836)","(0.671, 0.671, 0.8)",2,,BDMAP_00001165;BDMAP_00001834
liver_0.nii.gz,"(512, 512, 75)","(0.703125, 0.703125, 5.0)",1,BDMAP_00001379,
liver_89.nii.gz,"(512, 512, 766)","(0.637, 0.637, 0.8)",2,,BDMAP_00002275;BDMAP_00004596
liver_97.nii.gz,"(512, 512, 671)","(0.722656, 0.722656, 0.7)",2,,BDMAP_00000831;BDMAP_00002080
liver_85.nii.gz,"(512, 512, 630)","(0.644531, 0.644531, 0.7)",2,,BDMAP_00002540;BDMAP_00003236
liver_52.nii.gz,"(512, 512, 237)","(0.835938, 0.835938, 2.5)",2,,BDMAP_00002699;BDMAP_00003151
liver_109.nii.gz,"(512, 512, 756)","(0.763, 0.763, 0.8)",2,,BDMAP_00000556;BDMAP_00000971
liver_31.nii.gz,"(512, 512, 91)","(1.0, 1.0, 1.0)",2,,BDMAP_00003272;BDMAP_00004998
liver_117.nii.gz,"(512, 512, 836)","(0.68, 0.68, 0.8)",2,,BDMAP_00002198;BDMAP_00004228
liver_40.nii.gz,"(512, 512, 122)","(1.0, 1.0, 1.0)",4,,BDMAP_00000273;BDMAP_00002158;BDMAP_00002172;BDMAP_00004639
liver_23.nii.gz,"(512, 512, 391)","(0.660156, 0.660156, 1.2)",1,BDMAP_00002791,
liver_105.nii.gz,"(512, 512, 986)","(0.84375, 0.84375, 0.7)",2,,BDMAP_00001885;BDMAP_00002495
liver_76.nii.gz,"(512, 512, 168)","(0.742188, 0.742188, 2.5)",2,,BDMAP_00001981;BDMAP_00004878
liver_68.nii.gz,"(512, 512, 266)","(0.666016, 0.666016, 2.499939)",2,,BDMAP_00002271;BDMAP_00004403
liver_15.nii.gz,"(512, 512, 565)","(0.654297, 0.654297, 1.0)",1,BDMAP_00005139,
liver_64.nii.gz,"(512, 512, 230)","(0.777344, 0.777344, 2.0)",2,,BDMAP_00003054;BDMAP_00003513
liver_19.nii.gz,"(512, 512, 547)","(0.751953, 0.751953, 0.799988)",1,BDMAP_00002463,
liver_121.nii.gz,"(512, 512, 463)","(0.794922, 0.794922, 1.5)",2,,BDMAP_00000907;BDMAP_00002321
liver_107.nii.gz,"(512, 512, 771)","(0.782, 0.782, 0.8)",2,,BDMAP_00001766;BDMAP_00003052
liver_21.nii.gz,"(512, 512, 437)","(0.767578, 0.767578, 1.0)",1,BDMAP_00001171,
liver_42.nii.gz,"(512, 512, 125)","(1.0, 1.0, 1.0)",2,,BDMAP_00000615;BDMAP_00000921
liver_119.nii.gz,"(512, 512, 461)","(0.84375, 0.84375, 1.5)",2,,BDMAP_00000140;BDMAP_00002712
liver_115.nii.gz,"(512, 512, 846)","(0.756, 0.756, 0.8)",2,,BDMAP_00004364;BDMAP_00004825
liver_33.nii.gz,"(512, 512, 135)","(1.0, 1.0, 1.0)",2,,BDMAP_00002419;BDMAP_00004664
liver_50.nii.gz,"(512, 512, 240)","(0.90625, 0.90625, 2.5)",2,,BDMAP_00004708;BDMAP_00005065
liver_78.nii.gz,"(512, 512, 198)","(0.785156, 0.785156, 2.5)",2,,BDMAP_00001471;BDMAP_00004435
liver_123.nii.gz,"(512, 512, 432)","(0.748047, 0.748047, 1.5)",2,,BDMAP_00002719;BDMAP_00004271
liver_66.nii.gz,"(512, 512, 86)","(0.712891, 0.712891, 5.0)",2,,BDMAP_00001813;BDMAP_00004117
liver_17.nii.gz,"(512, 512, 826)","(0.744141, 0.744141, 0.8)",1,BDMAP_00002841,
liver_74.nii.gz,"(512, 512, 107)","(0.826172, 0.826172, 5.0)",3,,BDMAP_00001362;BDMAP_00001538;BDMAP_00004103
liver_2.nii.gz,"(512, 512, 517)","(0.775391, 0.775391, 1.0)",1,BDMAP_00002485,
liver_87.nii.gz,"(512, 512, 896)","(0.854, 0.854, 0.8)",2,,BDMAP_00003665;BDMAP_00004943
liver_99.nii.gz,"(512, 512, 629)","(0.78125, 0.78125, 0.699984)",2,,BDMAP_00001185;BDMAP_00002583
liver_95.nii.gz,"(512, 512, 841)","(0.738, 0.738, 0.8)",2,,BDMAP_00000347;BDMAP_00004185
liver_13.nii.gz,"(512, 512, 605)","(0.847656, 0.847656, 1.0)",1,BDMAP_00000101,
liver_70.nii.gz,"(512, 512, 333)","(0.597656, 0.597656, 1.25)",2,,BDMAP_00001010;BDMAP_00002636
liver_127.nii.gz,"(512, 512, 987)","(0.771484, 0.771484, 0.7)",2,,BDMAP_00000941;BDMAP_00003074
liver_62.nii.gz,"(512, 512, 188)","(0.644531, 0.644531, 2.0)",2,,BDMAP_00003148;BDMAP_00004016
liver_111.nii.gz,"(512, 512, 761)","(0.782, 0.782, 0.8)",2,,BDMAP_00000283;BDMAP_00003330
liver_37.nii.gz,"(512, 512, 122)","(1.0, 1.0, 1.0)",4,,BDMAP_00000273;BDMAP_00002158;BDMAP_00002172;BDMAP_00004639
liver_29.nii.gz,"(512, 512, 172)","(1.0, 1.0, 1.0)",2,,BDMAP_00001786;BDMAP_00004890
liver_54.nii.gz,"(512, 512, 96)","(0.828125, 0.828125, 5.0)",2,,BDMAP_00002020;BDMAP_00002252
liver_103.nii.gz,"(512, 512, 683)","(0.855469, 0.855469, 0.7)",2,,BDMAP_00000408;BDMAP_00003556
liver_25.nii.gz,"(512, 512, 601)","(0.767578, 0.767578, 0.7)",1,BDMAP_00004462,
liver_58.nii.gz,"(512, 512, 212)","(0.683594, 0.683594, 2.0)",2,,BDMAP_00003636;BDMAP_00004704
liver_46.nii.gz,"(512, 512, 124)","(1.0, 1.0, 1.0)",4,,BDMAP_00002918;BDMAP_00003898;BDMAP_00004028;BDMAP_00004199
liver_91.nii.gz,"(512, 512, 751)","(0.858, 0.858, 0.8)",2,,BDMAP_00001177;BDMAP_00001502
liver_83.nii.gz,"(512, 512, 871)","(0.742188, 0.742188, 0.7)",2,,BDMAP_00001488;BDMAP_00004509
liver_6.nii.gz,"(512, 512, 518)","(0.873047, 0.873047, 1.0)",1,BDMAP_00000362,
liver_81.nii.gz,"(512, 512, 343)","(0.703125, 0.703125, 1.25)",2,,BDMAP_00000232;BDMAP_00001093
liver_93.nii.gz,"(512, 512, 696)","(0.662, 0.662, 0.8)",2,,BDMAP_00001115;BDMAP_00002909
liver_8.nii.gz,"(512, 512, 541)","(0.847656, 0.847656, 1.0)",1,BDMAP_00002359,
liver_4.nii.gz,"(512, 512, 841)","(0.902344, 0.902344, 0.8)",1,BDMAP_00005097,
liver_60.nii.gz,"(512, 512, 244)","(0.798828, 0.798828, 2.0)",2,,BDMAP_00003932;BDMAP_00004866
liver_125.nii.gz,"(512, 512, 410)","(0.712891, 0.712891, 1.5)",2,,BDMAP_00002529;BDMAP_00005000
liver_129.nii.gz,"(512, 512, 338)","(0.705078, 0.705078, 0.7)",2,,BDMAP_00003481;BDMAP_00003877
liver_72.nii.gz,"(512, 512, 93)","(0.677734, 0.677734, 2.5)",2,,BDMAP_00001200;BDMAP_00004459
liver_11.nii.gz,"(512, 512, 466)","(0.671875, 0.671875, 1.0)",1,BDMAP_00002167,
liver_39.nii.gz,"(512, 512, 260)","(1.0, 1.0, 1.0)",2,,BDMAP_00000413;BDMAP_00000572
liver_44.nii.gz,"(512, 512, 119)","(1.0, 1.0, 1.0)",2,,BDMAP_00002283;BDMAP_00004888
liver_27.nii.gz,"(512, 512, 861)","(0.738281, 0.738281, 0.7)",1,BDMAP_00003920,
liver_101.nii.gz,"(512, 512, 683)","(0.705078, 0.705078, 0.7)",2,,BDMAP_00002849;BDMAP_00003497
liver_56.nii.gz,"(512, 512, 239)","(0.802734, 0.802734, 2.0)",2,,BDMAP_00000583;BDMAP_00000607
liver_35.nii.gz,"(512, 512, 124)","(1.0, 1.0, 1.0)",4,,BDMAP_00002918;BDMAP_00003898;BDMAP_00004028;BDMAP_00004199
liver_113.nii.gz,"(512, 512, 836)","(0.781, 0.781, 0.8)",2,,BDMAP_00000113;BDMAP_00004745
liver_48.nii.gz,"(512, 512, 244)","(0.976562, 0.976562, 2.5)",3,,BDMAP_00000186;BDMAP_00004017;BDMAP_00008592
